tax_path,tax_name,min_ani,avg_reads_per_occurrence,phylum,family
"137951:s__JADKDT01 sp017998555:""species""	119234:g__JADKDT01:""genus""	76206:f__J036:""family""	1154:o__Thermoflexales:""order""	942:c__Anaerolineae:""class""	37:p__Chloroflexota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",JADKDT01 sp017998555,92.43458482499764,111.8,Chloroflexota,J036
"141389:s__CADEFT01 sp018268935:""species""	113910:g__CADEFT01:""genus""	38462:f__Bryobacteraceae:""family""	38461:o__Bryobacterales:""order""	354:c__Acidobacteriae:""class""	353:p__Acidobacteriota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",CADEFT01 sp018268935,92.42424667042393,236.16666666666666,Acidobacteriota,Bryobacteraceae
"141399:s__RBC074 sp018269055:""species""	121035:g__RBC074:""genus""	112789:f__RBC074:""family""	112788:o__RBC074:""order""	3032:c__Blastocatellia:""class""	353:p__Acidobacteriota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",RBC074 sp018269055,92.58112232447483,464.6363636363636,Acidobacteriota,RBC074
"171044:s__CADEHE01 sp902826775:""species""	171043:g__CADEHE01:""genus""	171042:f__CADEHE01:""family""	37326:o__Burkholderiales:""order""	72:c__Gammaproteobacteria:""class""	71:p__Proteobacteria:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",CADEHE01 sp902826775,92.49507409130584,89.33333333333333,Proteobacteria,CADEHE01
"171883:s__Limnohabitans sp903880855:""species""	11639:g__Limnohabitans:""genus""	110:f__Burkholderiaceae_A:""family""	81:o__Betaproteobacteriales:""order""	72:c__Gammaproteobacteria:""class""	71:p__Proteobacteria:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Limnohabitans sp903880855,93.8163765133102,91.96,Proteobacteria,Burkholderiaceae
"175003:s__UBA4615 sp903903975:""species""	27656:g__UBA4615:""genus""	110:f__Burkholderiaceae_A:""family""	81:o__Betaproteobacteriales:""order""	72:c__Gammaproteobacteria:""class""	71:p__Proteobacteria:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",UBA4615 sp903903975,92.70841715138276,135.52173913043478,Proteobacteria,Burkholderiaceae
"43270:s__Flavobacterium sp001507425:""species""	1300:g__Flavobacterium:""genus""	653:f__Flavobacteriaceae:""family""	431:o__Flavobacteriales:""order""	65:c__Bacteroidia:""class""	22:p__Bacteroidota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Flavobacterium sp001507425,94.08580419733944,130.76190476190476,Bacteroidota,Flavobacteriaceae
"46578:s__UBA5189 sp001795245:""species""	12027:g__UBA5189:""genus""	8446:f__CSP1-4_A:""family""	8445:o__CSP1-4:""order""	8444:c__Ellin6529:""class""	37:p__Chloroflexota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",UBA5189 sp001795245,92.73185324720544,249.0,Chloroflexota,CSP1-4
"46956:s__Arenimonas sp001801685:""species""	16063:g__Arenimonas:""genus""	4721:f__Xanthomonadaceae:""family""	1170:o__Xanthomonadales:""order""	72:c__Gammaproteobacteria:""class""	71:p__Proteobacteria:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Arenimonas sp001801685,93.02768102279768,447.7692307692308,Proteobacteria,Xanthomonadaceae
"48561:s__40CM-68-15 sp001917585:""species""	48560:g__40CM-68-15:""genus""	42938:f__CSP1-6:""family""	5555:o__Rokubacteriales:""order""	5554:c__Methylomirabilia:""class""	5553:p__Methylomirabilota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",40CM-68-15 sp001917585,92.5432996382474,281.3636363636364,Methylomirabilota,CSP1-6
"51836:s__UBA700 sp002298885:""species""	18071:g__UBA700:""genus""	1651:f__Anaerolineaceae:""family""	943:o__Anaerolineales:""order""	942:c__Anaerolineae:""class""	37:p__Chloroflexota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",UBA700 sp002298885,92.28139629463683,94.5909090909091,Chloroflexota,Anaerolineaceae
"56995:s__UBA5189 sp002413045:""species""	12027:g__UBA5189:""genus""	8446:f__CSP1-4_A:""family""	8445:o__CSP1-4:""order""	8444:c__Ellin6529:""class""	37:p__Chloroflexota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",UBA5189 sp002413045,92.6633111484396,198.0,Chloroflexota,CSP1-4
"66880:s__Palsa-89 sp003132905:""species""	66879:g__Palsa-89:""genus""	38462:f__Bryobacteraceae:""family""	38461:o__Bryobacterales:""order""	354:c__Acidobacteriae:""class""	353:p__Acidobacteriota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Palsa-89 sp003132905,92.39762704539976,191.0,Acidobacteriota,Bryobacteraceae
"67128:s__BOG-234 sp003136575:""species""	67127:g__BOG-234:""genus""	38462:f__Bryobacteraceae:""family""	38461:o__Bryobacterales:""order""	354:c__Acidobacteriae:""class""	353:p__Acidobacteriota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",BOG-234 sp003136575,92.45899926264296,155.9090909090909,Acidobacteriota,Bryobacteraceae
"67662:s__PALSA-1176 sp003151975:""species""	67661:g__PALSA-1176:""genus""	9012:f__UBA9628:""family""	9011:o__UBA1565:""order""	151:c__Elusimicrobia:""class""	150:p__Elusimicrobiota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",PALSA-1176 sp003151975,92.47497754918264,96.52380952380952,Elusimicrobiota,UBA9628
"67668:s__Schlegelella_A sp003152055:""species""	67667:g__Schlegelella_A:""genus""	37327:f__Burkholderiaceae_B:""family""	37326:o__Burkholderiales:""order""	72:c__Gammaproteobacteria:""class""	71:p__Proteobacteria:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Schlegelella_A sp003152055,92.75092262964368,243.91304347826087,Proteobacteria,Burkholderiaceae
